cbsa,YEAR,alcohol
30620,2013,7
30660,2013,2
30700,2013,15
30780,2013,85
30820,2013,5
30860,2013,2
30880,2013,1
30900,2013,5
30940,2013,3
30980,2013,24
31020,2013,4
31060,2013,NA
31080,2013,1430
31140,2013,160
31180,2013,34
31220,2013,2
31260,2013,2
31300,2013,7
31340,2013,12
31380,2013,2
31420,2013,33
31460,2013,10
31500,2013,7
31540,2013,56
31580,2013,10
31620,2013,NA
31660,2013,6
31680,2013,NA
31700,2013,21
31740,2013,19
31820,2013,4
31860,2013,12
31900,2013,6
31930,2013,4
31940,2013,4
31980,2013,9
32000,2013,1
32020,2013,3
32100,2013,7
32140,2013,8
32180,2013,NA
32220,2013,3
32260,2013,2
32280,2013,NA
32300,2013,3
32340,2013,NA
32380,2013,2
32460,2013,NA
32500,2013,2
32540,2013,2
32580,2013,29
32620,2013,8
32660,2013,NA
32700,2013,5
32740,2013,15
32780,2013,13
32820,2013,152
32860,2013,3
32900,2013,16
32940,2013,15
32980,2013,2
33020,2013,1
33060,2013,2
33100,2013,451
33140,2013,16
33180,2013,NA
33220,2013,7
33260,2013,14
33300,2013,9
33340,2013,133
33420,2013,8
33460,2013,505
33500,2013,6
33540,2013,6
33580,2013,NA
33620,2013,2
33660,2013,36
33700,2013,44
33740,2013,12
33780,2013,24
33860,2013,23
33940,2013,11
33980,2013,6
34020,2013,NA
34060,2013,3
34100,2013,5
34140,2013,4
34180,2013,3
34220,2013,4
34260,2013,12
34300,2013,1
34340,2013,4
34380,2013,11
34420,2013,3
34460,2013,3
34500,2013,5
34540,2013,5
34580,2013,7
34620,2013,18
34660,2013,4
34700,2013,1
34740,2013,15
34780,2013,4
34820,2013,54
34860,2013,7
34900,2013,48
34940,2013,16
34980,2013,191
35020,2013,5
35060,2013,4
35100,2013,11
35140,2013,2
35220,2013,8
35260,2013,12
35300,2013,187
35380,2013,28
35420,2013,14
35440,2013,9
35460,2013,3
35500,2013,1
35580,2013,4
35620,2013,3415
35660,2013,30
35700,2013,3
35740,2013,3
35820,2013,7
35840,2013,52
35860,2013,4
35900,2013,3
35940,2013,4
35980,2013,66
36020,2013,5
36100,2013,13
36140,2013,25
36220,2013,19
36260,2013,8
36300,2013,16
36340,2013,9
36380,2013,5
36420,2013,130
36460,2013,11
36500,2013,19
36540,2013,41
36580,2013,10
36620,2013,3
36660,2013,NA
36700,2013,7
36740,2013,143
36780,2013,5
36820,2013,2
36830,2013,2
36840,2013,8
36860,2013,13
36900,2013,1
36940,2013,9
36980,2013,11
37020,2013,4
37060,2013,13
37080,2013,3
37100,2013,123
37120,2013,3
37140,2013,13
37220,2013,2
37260,2013,3
37300,2013,3
37340,2013,41
37420,2013,4
37460,2013,24
37500,2013,6
37540,2013,7
37580,2013,3
37620,2013,2
37660,2013,6
37740,2013,3
37780,2013,1
37800,2013,NA
37860,2013,29
37900,2013,27
37940,2013,3
37980,2013,821
38060,2013,121
38100,2013,NA
38180,2013,2
38220,2013,19
38240,2013,5
38260,2013,9
38300,2013,384
38340,2013,38
38380,2013,4
38420,2013,6
38460,2013,16
38500,2013,5
38540,2013,5
38580,2013,4
38620,2013,6
38700,2013,3
38740,2013,1
38780,2013,1
38820,2013,NA
38840,2013,2
38860,2013,17
38900,2013,122
38920,2013,2
38940,2013,40
39020,2013,2
39060,2013,33
39140,2013,10
39220,2013,1
39260,2013,2
39300,2013,329
39340,2013,5
39380,2013,34
39420,2013,2
39460,2013,13
39500,2013,1
39540,2013,19
39580,2013,55
39660,2013,9
39700,2013,NA
39740,2013,54
39780,2013,2
39820,2013,9
39860,2013,14
39900,2013,35
39940,2013,NA
39980,2013,14
40060,2013,73
40080,2013,12
40100,2013,8
40140,2013,364
40180,2013,7
40220,2013,15
40260,2013,10
40300,2013,4
40340,2013,39
40380,2013,126
40420,2013,29
40460,2013,2
40540,2013,6
40580,2013,15
40620,2013,4
40660,2013,13
40700,2013,7
40740,2013,1
40760,2013,NA
40780,2013,1
40820,2013,3
40860,2013,12
40900,2013,162
40940,2013,1
40980,2013,33
41060,2013,38
41100,2013,3
41140,2013,3
41180,2013,161
41220,2013,4
41260,2013,NA
41400,2013,7
41420,2013,15
41460,2013,12
41500,2013,44
41540,2013,92
41620,2013,23
41660,2013,11
41700,2013,167
41740,2013,364
41760,2013,4
41780,2013,7
41820,2013,3
41860,2013,431
41940,2013,169
42020,2013,59
42100,2013,35
42140,2013,13
42200,2013,83
42220,2013,65
42300,2013,2
42340,2013,53
42380,2013,10
42420,2013,3
42460,2013,5
42540,2013,127
42620,2013,1
42660,2013,165
42680,2013,12
42700,2013,3
42740,2013,3
42780,2013,3
42820,2013,3
42860,2013,6
42900,2013,6
42940,2013,6
42980,2013,6
43020,2013,NA
43060,2013,5
43100,2013,6
43140,2013,3
43180,2013,3
43220,2013,1
43260,2013,5
43300,2013,8
43320,2013,3
43340,2013,53
